prr,algorithm,n_communities,modularity,jaccard,nmi,nvi
0.38,infomap,5,0.620861378297332,1.0,1.0,0.0
0.38,louvain,5,0.620861378297332,1.0,1.0,0.0
0.38,leiden,5,0.620861378297332,1.0,1.0,0.0
0.4,infomap,5,0.6284152801696871,1.0,1.0,0.0
0.4,louvain,5,0.6284152801696871,1.0,1.0,0.0
0.4,leiden,5,0.6284152801696871,1.0,1.0,0.0
0.42,infomap,5,0.6354440339299297,1.0,1.0,0.0
0.42,louvain,5,0.6354440339299297,1.0,1.0,0.0
0.42,leiden,5,0.6354440339299297,1.0,1.0,0.0
0.44,infomap,5,0.6419842923059791,1.0,1.0,0.0
0.44,louvain,5,0.6419842923059791,1.0,1.0,0.0
0.44,leiden,5,0.6419842923059791,1.0,1.0,0.0
0.46,infomap,5,0.6476974235147225,1.0,1.0,0.0
0.46,louvain,5,0.6476974235147225,1.0,1.0,0.0
0.46,leiden,5,0.6476974235147225,1.0,1.0,0.0
0.48,infomap,5,0.6536741763817728,1.0,1.0,0.0
0.48,louvain,5,0.6536741763817728,1.0,1.0,0.0
0.48,leiden,5,0.6536741763817728,1.0,1.0,0.0
0.5,infomap,5,0.6585779975072513,1.0,1.0,0.0
0.5,louvain,5,0.6585779975072513,1.0,1.0,0.0
0.5,leiden,5,0.6585779975072513,1.0,1.0,0.0
0.52,infomap,5,0.6632825263851171,1.0,1.0,0.0
0.52,louvain,5,0.6632825263851171,1.0,1.0,0.0
0.52,leiden,5,0.6632825263851171,1.0,1.0,0.0
0.54,infomap,5,0.6679000557643688,1.0,1.0,0.0
0.54,louvain,5,0.6679000557643688,1.0,1.0,0.0
0.54,leiden,5,0.6679000557643688,1.0,1.0,0.0
0.56,infomap,5,0.6716514684965386,1.0,1.0,0.0
0.56,louvain,5,0.6716514684965386,1.0,1.0,0.0
0.56,leiden,5,0.6716514684965386,1.0,1.0,0.0
0.58,infomap,5,0.6752997665409739,1.0,1.0,0.0
0.58,louvain,5,0.6752997665409739,1.0,1.0,0.0
0.58,leiden,5,0.6752997665409739,1.0,1.0,0.0
0.6,infomap,5,0.6789746468237186,1.0,1.0,0.0
0.6,louvain,5,0.6789746468237186,1.0,1.0,0.0
0.6,leiden,5,0.6789746468237186,1.0,1.0,0.0
0.62,infomap,5,0.6821568647278964,1.0,1.0,0.0
0.62,louvain,5,0.6821568647278964,1.0,1.0,0.0
0.62,leiden,5,0.6821568647278964,1.0,1.0,0.0
0.64,infomap,5,0.6855902784960461,1.0,1.0,0.0
0.64,louvain,5,0.6855902784960461,1.0,1.0,0.0
0.64,leiden,5,0.6855902784960461,1.0,1.0,0.0
0.66,infomap,5,0.6885694427932836,1.0,1.0,0.0
0.66,louvain,5,0.6885694427932836,1.0,1.0,0.0
0.66,leiden,5,0.6885694427932836,1.0,1.0,0.0
0.68,infomap,5,0.6915033072939442,1.0,1.0,0.0
0.68,louvain,5,0.6915033072939442,1.0,1.0,0.0
0.68,leiden,5,0.6915033072939442,1.0,1.0,0.0
0.7,infomap,5,0.6940190245755323,1.0,1.0,0.0
0.7,louvain,5,0.6940190245755323,1.0,1.0,0.0
0.7,leiden,5,0.6940190245755323,1.0,1.0,0.0
0.72,infomap,5,0.6967120050943904,1.0,1.0,0.0
0.72,louvain,5,0.6967120050943904,1.0,1.0,0.0
0.72,leiden,5,0.6967120050943904,1.0,1.0,0.0
0.74,infomap,5,0.6992097410727584,1.0,1.0,0.0
0.74,louvain,5,0.6992097410727584,1.0,1.0,0.0
0.74,leiden,5,0.6992097410727584,1.0,1.0,0.0
0.76,infomap,5,0.7016407154282391,1.0,1.0,0.0
0.76,louvain,5,0.7016407154282391,1.0,1.0,0.0
0.76,leiden,5,0.7016407154282391,1.0,1.0,0.0
0.78,infomap,5,0.7038379684503779,1.0,1.0,0.0
0.78,louvain,5,0.7038379684503779,1.0,1.0,0.0
0.78,leiden,5,0.7038379684503779,1.0,1.0,0.0
0.8,infomap,5,0.7059326663580259,1.0,1.0,0.0
0.8,louvain,5,0.7059326663580259,1.0,1.0,0.0
0.8,leiden,5,0.7059326663580259,1.0,1.0,0.0
0.82,infomap,5,0.7081207321900661,1.0,1.0,0.0
0.82,louvain,5,0.7081207321900661,1.0,1.0,0.0
0.82,leiden,5,0.7081207321900661,1.0,1.0,0.0
0.84,infomap,5,0.7101364464224879,1.0,1.0,0.0
0.84,louvain,5,0.7101364464224879,1.0,1.0,0.0
0.84,leiden,5,0.7101364464224879,1.0,1.0,0.0
0.86,infomap,5,0.7118254150253772,1.0,1.0,0.0
0.86,louvain,5,0.7118254150253772,1.0,1.0,0.0
0.86,leiden,5,0.7118254150253772,1.0,1.0,0.0
0.88,infomap,5,0.713639477957258,1.0,1.0,0.0
0.88,louvain,5,0.713639477957258,1.0,1.0,0.0
0.88,leiden,5,0.713639477957258,1.0,1.0,0.0
0.9,infomap,5,0.7154589052488309,1.0,1.0,0.0
0.9,louvain,5,0.7154589052488309,1.0,1.0,0.0
0.9,leiden,5,0.7154589052488309,1.0,1.0,0.0
0.92,infomap,5,0.7172030309386264,1.0,1.0,0.0
0.92,louvain,5,0.7172030309386264,1.0,1.0,0.0
0.92,leiden,5,0.7172030309386264,1.0,1.0,0.0
0.94,infomap,5,0.718690009740387,1.0,1.0,0.0
0.94,louvain,5,0.718690009740387,1.0,1.0,0.0
0.94,leiden,5,0.718690009740387,1.0,1.0,0.0
0.96,infomap,5,0.7202075020518274,1.0,1.0,0.0
0.96,louvain,5,0.7202075020518274,1.0,1.0,0.0
0.96,leiden,5,0.7202075020518274,1.0,1.0,0.0
0.98,infomap,5,0.721772648877696,1.0,1.0,0.0
0.98,louvain,5,0.721772648877696,1.0,1.0,0.0
0.98,leiden,5,0.721772648877696,1.0,1.0,0.0
1.0,infomap,5,0.7239913469306815,1.0,1.0,0.0
1.0,louvain,5,0.7239913469306815,1.0,1.0,0.0
1.0,leiden,5,0.7239913469306815,1.0,1.0,0.0
